Year,Region,Value
2019,Deutschland,5.0
2019,Bayern,2.8
2019,Ingolstadt,2.9
2019,Landkreis Eichstätt,1.3
2019,Landkreis Neuburg-Schrobenhausen,1.9
2019,Landkreis Pfaffenhofen a. d. Ilm,1.6
2020,Deutschland,5.9
2020,Bayern,3.6
2020,Ingolstadt,3.8
2020,Landkreis Eichstätt,2.0
2020,Landkreis Neuburg-Schrobenhausen,2.5
2020,Landkreis Pfaffenhofen a. d. Ilm,2.3
2021,Deutschland,5.7
2021,Bayern,3.5
2021,Ingolstadt,3.7
2021,Landkreis Eichstätt,1.9
2021,Landkreis Neuburg-Schrobenhausen,2.3
2021,Landkreis Pfaffenhofen a. d. Ilm,2.3
2022,Deutschland,5.3
2022,Bayern,3.1
2022,Ingolstadt,3.3
2022,Landkreis Eichstätt,1.7
2022,Landkreis Neuburg-Schrobenhausen,2.2
2022,Landkreis Pfaffenhofen a. d. Ilm,1.9
2023,Deutschland,5.7
2023,Bayern,3.4
2023,Ingolstadt,3.3
2023,Landkreis Eichstätt,2.2
2023,Landkreis Neuburg-Schrobenhausen,2.6
2023,Landkreis Pfaffenhofen a. d. Ilm,2.0
