Year,Abschlussart nach Nationalität,Value
2013,Deutsche - ohne berufl. Ausbildungsabschluss,5111
2013,Deutsche - mit anerkanntem Berufsabschluss,27327
2013,Deutsche - mit akademischem Abschluss,9135
2013,Deutsche - gesamt mit und ohne Abschluss,45889
2013,Ausländer - ohne berufl. Ausbildungsabschluss,1878
2013,Ausländer - mit anerkanntem Berufsabschluss,2724
2013,Ausländer - mit akademischem Abschluss,1198
2013,Ausländer - gesamt mit und ohne Abschluss,7614
2013,Alle - ohne berufl. Ausbildungsabschluss,6998
2013,Alle - mit anerkanntem Berufsabschluss,30056
2013,Alle - mit akademischem Abschluss,10336
2013,Alle - gesamt mit und ohne Abschluss,53527
2014,Deutsche - ohne berufl. Ausbildungsabschluss,5019
2014,Deutsche - mit anerkanntem Berufsabschluss,27928
2014,Deutsche - mit akademischem Abschluss,9807
2014,Deutsche - gesamt mit und ohne Abschluss,46507
2014,Ausländer - ohne berufl. Ausbildungsabschluss,1899
2014,Ausländer - mit anerkanntem Berufsabschluss,3137
2014,Ausländer - mit akademischem Abschluss,1345
2014,Ausländer - gesamt mit und ohne Abschluss,8240
2014,Alle - ohne berufl. Ausbildungsabschluss,6927
2014,Alle - mit anerkanntem Berufsabschluss,31070
2014,Alle - mit akademischem Abschluss,11155
2014,Alle - gesamt mit und ohne Abschluss,54771
2015,Deutsche - ohne berufl. Ausbildungsabschluss,5035
2015,Deutsche - mit anerkanntem Berufsabschluss,28493
2015,Deutsche - mit akademischem Abschluss,10655
2015,Deutsche - gesamt mit und ohne Abschluss,47652
2015,Ausländer - ohne berufl. Ausbildungsabschluss,2196
2015,Ausländer - mit anerkanntem Berufsabschluss,3614
2015,Ausländer - mit akademischem Abschluss,1606
2015,Ausländer - gesamt mit und ohne Abschluss,9560
2015,Alle - ohne berufl. Ausbildungsabschluss,7235
2015,Alle - mit anerkanntem Berufsabschluss,32111
2015,Alle - mit akademischem Abschluss,12266
2015,Alle - gesamt mit und ohne Abschluss,57234
2016,Deutsche - ohne berufl. Ausbildungsabschluss,5126
2016,Deutsche - mit anerkanntem Berufsabschluss,28935
2016,Deutsche - mit akademischem Abschluss,11711
2016,Deutsche - gesamt mit und ohne Abschluss,49042
2016,Ausländer - ohne berufl. Ausbildungsabschluss,2424
2016,Ausländer - mit anerkanntem Berufsabschluss,4009
2016,Ausländer - mit akademischem Abschluss,1839
2016,Ausländer - gesamt mit und ohne Abschluss,10534
2016,Alle - ohne berufl. Ausbildungsabschluss,7556
2016,Alle - mit anerkanntem Berufsabschluss,32954
2016,Alle - mit akademischem Abschluss,13554
2016,Alle - gesamt mit und ohne Abschluss,59601
2017,Deutsche - ohne berufl. Ausbildungsabschluss,5085
2017,Deutsche - mit anerkanntem Berufsabschluss,29071
2017,Deutsche - mit akademischem Abschluss,12200
2017,Deutsche - gesamt mit und ohne Abschluss,49437
2017,Ausländer - ohne berufl. Ausbildungsabschluss,2510
