Year,Flächenart,Value
2019,Inanspruchnahme Siedlungs-und Verkehrsfläche,37.14
2019,Inanspruchnahme Vegetation,58.80
2019,Neuinanspruchnahme Siedlungs- und Verkehrsfläche,0.054
2019,Neuinanspruchnahme Vegetation,-0.075
2020,Inanspruchnahme Siedlungs-und Verkehrsfläche,36.79
2020,Inanspruchnahme Vegetation,59.16
2020,Neuinanspruchnahme Siedlungs- und Verkehrsfläche,-0.35
2020,Neuinanspruchnahme Vegetation,0.35
2021,Inanspruchnahme Siedlungs-und Verkehrsfläche,36.90
2021,Inanspruchnahme Vegetation,59.05
2021,Neuinanspruchnahme Siedlungs- und Verkehrsfläche,0.11
2021,Neuinanspruchnahme Vegetation,-0.11
2022,Inanspruchnahme Siedlungs-und Verkehrsfläche,37.01
2022,Inanspruchnahme Vegetation,58.94
2022,Neuinanspruchnahme Siedlungs- und Verkehrsfläche,0.114
2022,Neuinanspruchnahme Vegetation,-0.106
2023,Inanspruchnahme Siedlungs-und Verkehrsfläche,37.12
2023,Inanspruchnahme Vegetation,58.80
2023,Neuinanspruchnahme Siedlungs- und Verkehrsfläche,0.111
2023,Neuinanspruchnahme Vegetation,-0.145
