Year,Abfallart,Value
2013,Restmüll,122.09
2013,Biomüll,97.81
2013,Papier,74.96
2013,Sperrmüll,17.3
2013,Altholz,37.96
2013,Metallschrott,8.45
2013,Elektrogeräte,6.14
2013,Textilien,4.59
2013,Grüngut,49.53
2013,Bauschutt,36.26
2013,gelber Sack,26.17
2013,Flaschenglas,18.43
2013,gesamt,499.68
2014,Restmüll,122.58
2014,Biomüll,102.19
2014,Papier,74.84
2014,Sperrmüll,16.61
2014,Altholz,41.01
2014,Metallschrott,5.92
2014,Elektrogeräte,6.31
2014,Textilien,5.32
2014,Grüngut,53.26
2014,Bauschutt,40.69
2014,gelber Sack,27.38
2014,Flaschenglas,13.33
2014,gesamt,509.45
2015,Restmüll,126.69
2015,Biomüll,97.05
2015,Papier,71.24
2015,Sperrmüll,16.06
2015,Altholz,58.03
2015,Metallschrott,5.24
2015,Elektrogeräte,6.14
2015,Textilien,6.28
2015,Grüngut,46.66
2015,Bauschutt,55.88
2015,gelber Sack,29.89
2015,Flaschenglas,13.04
2015,gesamt,532.20
2016,Restmüll,127.89
2016,Biomüll,99.32
2016,Papier,69.33
2016,Sperrmüll,16.76
2016,Altholz,46.19
2016,Metallschrott,5.52
2016,Elektrogeräte,5.55
2016,Textilien,7.27
2016,Grüngut,51.31
2016,Bauschutt,49.39
2016,gelber Sack,30.1
2016,Flaschenglas,14.82
2016,gesamt,523.45
2017,Restmüll,127.77
2017,Biomüll,95.33
2017,Papier,67.29
2017,Sperrmüll,16.24
2017,Altholz,40.57
2017,Metallschrott,4.59
2017,Elektrogeräte,6.82
2017,Textilien,5.69
2017,Grüngut,50.49
2017,Bauschutt,58.93
2017,gelber Sack,29.79
2017,Flaschenglas,19.64
2017,gesamt,523.16
2018,Restmüll,126.66
2018,Biomüll,94.77
2018,Papier,64.99
2018,Sperrmüll,17.1
2018,Altholz,33.12
2018,Metallschrott,4.06
2018,Elektrogeräte,5.72
2018,Textilien,6.94
2018,Grüngut,44.85
2018,Bauschutt,23.07
2018,gelber Sack,31
2018,Flaschenglas,20.15
2018,gesamt,472.42
2019,Restmüll,125.02
2019,Biomüll,93.13
2019,Papier,65.05
2019,Sperrmüll,19.26
2019,Altholz,14.08
2019,Metallschrott,4.89
2019,Elektrogeräte,7.96
2019,Textilien,6.96
2019,Grüngut,32.5
2019,Bauschutt,14.33
2019,gelber Sack,30.87
2019,Flaschenglas,20.41
2019,gesamt,434.48
2020,Restmüll,133.06
2020,Biomüll,99.33
2020,Papier,62.3
2020,Sperrmüll,23.84
2020,Altholz,15.81
2020,Metallschrott,5.56
2020,Elektrogeräte,6
2020,Textilien,6.7
2020,Grüngut,35.73
2020,Bauschutt,15.77
2020,gelber Sack,31.1
2020,Flaschenglas,23.56
2020,gesamt,458.76
2021,Restmüll,134.73
2021,Biomüll,100.91
2021,Papier,60.76
2021,Sperrmüll,22.77
2021,Altholz,13.89
2021,Metallschrott,4.99
2021,Elektrogeräte,5.65
2021,Textilien,5.34
2021,Grüngut,38.29
2021,Bauschutt,14.75
2021,gelber Sack,31.75
2021,Flaschenglas,22.71
2021,gesamt,456.53
2022,Restmüll,130.67
2022,Biomüll,87.18
2022,Papier,53.74
2022,Sperrmüll,19.73
2022,Altholz,12.67
2022,Metallschrott,4.41
2022,Elektrogeräte,5.22
2022,Textilien,5.76
2022,Grüngut,32.27
2022,Bauschutt,11.37
2022,gelber Sack,29.11
2022,Flaschenglas,21.53
2022,gesamt,413.66
