Year,Sektoren,Value
1990,Haushalte,320797
1990,Industrie,868724
1990,GHD,332044
1990,Verkehr,218550
1990,Gesamtemissionen,1740114
2000,Haushalte,353843
2000,Industrie,855522
2000,GHD,310353
2000,Verkehr,245968
2000,Gesamtemissionen,1765686
2010,Haushalte,325333
2010,Industrie,833652
2010,GHD,289892
2010,Verkehr,233023
2010,Gesamtemissionen,1681900
2017,Haushalte,321919
2017,Industrie,863266
2017,GHD,302885
2017,Verkehr,243464
2017,Gesamtemissionen,1731535
2018,Haushalte,333735
2018,Industrie,877685
2018,GHD,291699
2018,Verkehr,242456
2018,Gesamtemissionen,1745576
2019,Haushalte,312286
2019,Industrie,831294
2019,GHD,251726
2019,GHD - Stadtverwaltung Ingolstadt,14685
2019,Verkehr,243120
2019,Gesamtemissionen,1653111
2020,Haushalte,305904
2020,Industrie,712890
2020,GHD,247689
2020,Verkehr,216296
2020,Gesamtemissionen,1482779
2021,Haushalte,297162
2021,Industrie,705102
2021,GHD,247223
2021,GHD - Stadtverwaltung Ingolstadt,10002
2021,Verkehr,217436
2021,Gesamtemissionen,1476925
