Year,Geschlecht / Herkunft,Value
2019,männlich,65
2019,weiblich,65.1
2019,mit Migrationshintergrund,58.7
2019,ohne Migrationshintergrund,71.7
2020,männlich,69
2020,weiblich,75.2
2020,mit Migrationshintergrund,61.5
2020,ohne Migrationshintergrund,83.5
2021,männlich,72.2
2021,weiblich,73.9
2021,mit Migrationshintergrund,61.7
2021,ohne Migrationshintergrund,88.4
2022,männlich,65.3
2022,weiblich,69.3
2022,mit Migrationshintergrund,52.5
2022,ohne Migrationshintergrund,88.3
2023,männlich,67.9
2023,weiblich,72.6
2023,mit Migrationshintergrund,55.2
2023,ohne Migrationshintergrund,90.5
