Year,Versorgungsgrad,Value
2022,Hausärzte,103.02
2022,Augenärzte,140.59
2022,Chirurgen und Orthopäden,151.86
2022,Frauenärzte,115.36
2022,Hautärzte,143.66
2022,HNO,110.13
2022,Kinder- und Jugendärzte,108.01
2022,Nervenärzte sowie Neurologen und Psychiater,139.10
2022,Psychotherapeuten,111.94
2022,Urologen,124.82
2023,Hausärzte,100.52
2023,Augenärzte,137.35
2023,Chirurgen und Orthopäden,147.99
2023,Frauenärzte,112.34
2023,Hautärzte,140.48
2023,HNO,107.27
2023,Kinder- und Jugendärzte,104.34
2023,Nervenärzte sowie Neurologen und Psychiater,135.5
2023,Psychotherapeuten,108.49
2023,Urologen,122.08
2024,Hausärzte,101.42
2024,Augenärzte,136.12
2024,Chirurgen und Orthopäden,146.66
2024,Frauenärzte,111.52
2024,Hautärzte,139.22
2024,HNO,106.30
2024,Kinder- und Jugendärzte,102.83
2024,Nervenärzte sowie Neurologen und Psychiater,134.28
2024,Psychotherapeuten,110.23
2024,Urologen,120.98
