Year,Fachärzte,Value
2019,allgemeine fachärztliche Versorgung,137.6
2019,spezialisierte fachärztliche Versorgung,40
2019,gesamt,177.6
2020,allgemeine fachärztliche Versorgung,138
2020,spezialisierte fachärztliche Versorgung,37.2
2020,gesamt,177.4
2021,allgemeine fachärztliche Versorgung,143.5
2021,spezialisierte fachärztliche Versorgung,37.7
2021,gesamt,181.1
2022,allgemeine fachärztliche Versorgung,141.1
2022,spezialisierte fachärztliche Versorgung,36.2
2022,gesamt,177.3
2023,allgemeine fachärztliche Versorgung,142.6
2023,spezialisierte fachärztliche Versorgung,37.2
2023,gesamt,179.9
