Year,Offene Arbeits- oder Berufsausbildungsstellen,Value
2019,Offene Arbeitsstellen Arzt- und Praxishilfe,
2019,Offene Arbeitsstellen Medizin. Laboratorium,
2019,Offene Arbeitsstellen Gesund. Krankenpfl. Rettungsd. Geburtsh.,
2019,Offene Arbeitsstellen Human- und Zahnmedizin,
2019,Offene Arbeitsstellen Tiermedizin und -heilkunde,
2019,Offene Arbeitsstellen Psychologie u. nichtärztl. -therapie,
2019,Offene Arbeitsstellen nichtärztl. Therapie und Heilkunde,
2019,Offene Arbeitsstellen Pharmazie,
2019,Offene Arbeitsstellen Gesamt,
2019,Offene Berufsausbildungsstellen Arzt- und Praxishilfe,4
2020,Offene Arbeitsstellen Arzt- und Praxishilfe,
2020,Offene Arbeitsstellen Medizin. Laboratorium,
2020,Offene Arbeitsstellen Gesund. Krankenpfl. Rettungsd. Geburtsh.,
2020,Offene Arbeitsstellen Human- und Zahnmedizin,
2020,Offene Arbeitsstellen Tiermedizin und -heilkunde,
2020,Offene Arbeitsstellen Psychologie u. nichtärztl. -therapie,
2020,Offene Arbeitsstellen nichtärztl. Therapie und Heilkunde,
2020,Offene Arbeitsstellen Pharmazie,
2020,Offene Arbeitsstellen Gesamt,
2020,Offene Berufsausbildungsstellen Arzt- und Praxishilfe,9
2021,Offene Arbeitsstellen Arzt- und Praxishilfe,
2021,Offene Arbeitsstellen Medizin. Laboratorium,
2021,Offene Arbeitsstellen Gesund. Krankenpfl. Rettungsd. Geburtsh.,
2021,Offene Arbeitsstellen Human- und Zahnmedizin,
2021,Offene Arbeitsstellen Tiermedizin und -heilkunde,
2021,Offene Arbeitsstellen Psychologie u. nichtärztl. -therapie,
2021,Offene Arbeitsstellen nichtärztl. Therapie und Heilkunde,
2021,Offene Arbeitsstellen Pharmazie,
2021,Offene Arbeitsstellen Gesamt,
2021,Offene Berufsausbildungsstellen Arzt- und Praxishilfe,10
2022,Offene Arbeitsstellen Arzt- und Praxishilfe,
2022,Offene Arbeitsstellen Medizin. Laboratorium,
2022,Offene Arbeitsstellen Gesund. Krankenpfl. Rettungsd. Geburtsh.,
2022,Offene Arbeitsstellen Human- und Zahnmedizin,
2022,Offene Arbeitsstellen Tiermedizin und -heilkunde,
2022,Offene Arbeitsstellen Psychologie u. nichtärztl. -therapie,
2022,Offene Arbeitsstellen nichtärztl. Therapie und Heilkunde,
2022,Offene Arbeitsstellen Pharmazie,
2022,Offene Arbeitsstellen Gesamt,
2022,Offene Berufsausbildungsstellen Arzt- und Praxishilfe,20
2023,Offene Arbeitsstellen Arzt- und Praxishilfe,
2023,Offene Arbeitsstellen Medizin. Laboratorium,
2023,Offene Arbeitsstellen Gesund. Krankenpfl. Rettungsd. Geburtsh.,
2023,Offene Arbeitsstellen Human- und Zahnmedizin,
2023,Offene Arbeitsstellen Tiermedizin und -heilkunde,
2023,Offene Arbeitsstellen Psychologie u. nichtärztl. -therapie,
2023,Offene Arbeitsstellen nichtärztl. Therapie und Heilkunde,
2023,Offene Arbeitsstellen Pharmazie,
2023,Offene Arbeitsstellen Gesamt,
2023,Offene Berufsausbildungsstellen Arzt- und Praxishilfe,31
