Year,Einrichtung,Value
2019,THI - deutsche Studierende,4721
2019,THI - ausländische Studierende,1107
2019,KU - deutsche Studierende,4318
2019,KU - ausländische Studierende,490
2019,gesamt,10636
2020,THI - deutsche Studierende,4821
2020,THI - ausländische Studierende,1205
2020,KU - deutsche Studierende,4292
2020,KU - ausländische Studierende,563
2020,gesamt,10881
2021,THI - deutsche Studierende,4824
2021,THI - ausländische Studierende,1523
2021,KU - deutsche Studierende,4359
2021,KU - ausländische Studierende,674
2021,gesamt,11380
2022,THI - deutsche Studierende,5028
2022,THI - ausländische Studierende,1859
2022,KU - deutsche Studierende,4284
2022,KU - ausländische Studierende,703
2022,gesamt,11874
2023,THI - deutsche Studierende,5175
2023,THI - ausländische Studierende,2325
2023,KU - deutsche Studierende,4098
2023,KU - ausländische Studierende,781
2023,gesamt,12379
