Year,Förderart,Value
2019,Institutionelle Förderung,288281.26
2019,Projektförderung,195288.42
2019,Mietzuschüsse,69534.75
2019,kirchliche Einrichtungen,0
2019,Trachtenvereine,0
2019,kirchliche Büchereien,6148
2019,gesamt,559252.43
2020,Institutionelle Förderung,302050
2020,Projektförderung,78100
2020,Mietzuschüsse,80351.80
2020,kirchliche Einrichtungen,2300
2020,Trachtenvereine,5500
2020,kirchliche Büchereien,4500
2020,gesamt,472.801.80
2021,Institutionelle Förderung,240500
2021,Projektförderung,166030
2021,Mietzuschüsse,74723.87
2021,kirchliche Einrichtungen,700
2021,Trachtenvereine,7000
2021,kirchliche Büchereien,4444.4
2021,gesamt,493398.27
2022,Institutionelle Förderung,346090
2022,Projektförderung,208001.84
2022,Mietzuschüsse,76816.74
2022,kirchliche Einrichtungen,625
2022,Trachtenvereine,5000
2022,kirchliche Büchereien,4005
2022,gesamt,640538.58
2023,Institutionelle Förderung,553956
2023,Projektförderung,210362.5
2023,Mietzuschüsse,79574.52
2023,kirchliche Einrichtungen,155
2023,Trachtenvereine,5000
2019,kirchliche Büchereien,4005
2023,gesamt,853053.02
