Year,Anlagenart,Watt,Watt/EW
2018,Biomasse,965000,6.98
2018,Wasserkraft,20000,0.14
2018,Photovoltaik,46009000,333
2018,Gesamt,46994000,340.12
2019,Biomasse,1040000,7.5
2019,Wasserkraft,20000,0.14
2019,Photovoltaik,47596000,343
2019,Gesamt,48656000,350.64
2020,Biomasse,1040000,7.52
2020,Wasserkraft,20000,0.16
2020,Photovoltaik,49560000,359
2020,Gesamt,50620000,366.66
2021,Biomasse,1040000,7.3
2021,Wasserkraft,22000,0.16
2021,Photovoltaik,52918000,380
2021,Gesamt,53980000,387.62
2022,Biomasse,1040000,7.3
2022,Wasserkraft,22000,0.15
2022,Photovoltaik,57266000,402
2022,Gesamt,58322000,427.45
2023,Biomasse,1040000,7.24
2023,Wasserkraft,22000,0.15
2023,Photovoltaik,67540000,470
2023,Gesamt,68602000,477.39
