Year,Ladesäule,Value
2016,Normalladesäule,36
2016,Schnellladesäule,4
2016,Gesamt,40
2017,Normalladesäule,36
2017,Schnellladesäule,4
2017,Gesamt,40
2018,Normalladesäule,66
2018,Schnellladesäule,4
2018,Gesamt,70
2019,Normalladesäule,188
2019,Schnellladesäule,8
2019,Gesamt,196
2020,Normalladesäule,311
2020,Schnellladesäule,17
2020,Gesamt,328
2021,Normalladesäule,362
2021,Schnellladesäule,35
2021,Gesamt,397
2022,Normalladesäule,618
2022,Schnellladesäule,57
2022,Gesamt,675
2023,Normalladesäule,1494
2023,Schnellladesäule,85
2023,Gesamt,1579
