Year,Langzeitleistungsbezieher und Langzeitarbeitslos,Value
2020,Langzeitleistungsbezieher Männer,1096
2020,Langzeitleistungsbezieher Frauen,1314
2020,Langzeitarbeitslos Männer,253
2020,Langzeitarbeitslos Frauen,228
2021,Langzeitleistungsbezieher Männer,1151
2021,Langzeitleistungsbezieher Frauen,1382
2021,Langzeitarbeitslos Männer,298
2021,Langzeitarbeitslos Frauen,252
2022,Langzeitleistungsbezieher Männer,1173
2022,Langzeitleistungsbezieher Frauen,1450
2022,Langzeitarbeitslos Männer,293
2022,Langzeitarbeitslos Frauen,224
2023,Langzeitleistungsbezieher Männer,1084
2023,Langzeitleistungsbezieher Frauen,1348
2023,Langzeitarbeitslos Männer,261
2023,Langzeitarbeitslos Frauen,222
