Year,sv-Beschäftigte,Value
2019,Männer,36600
2019,Frauen,26810
2019,Deutsche,50100
2019,Nicht-Deutsche,13292
2019,über 55 Jahre,10442
2019,mit Berufsabschluss,33801
2019,mit akademischen Abschluss,16021
2019,gesamt,63410
2020,Männer,36236
2020,Frauen,26784
2020,Deutsche,49324
2020,Nicht-Deutsche,13680
2020,über 55 Jahre,10542
2020,mit Berufsabschluss,33276
2020,mit akademischen Abschluss,16350
2021,gesamt,63020
2021,Männer,36633
2021,Frauen,27108
2021,Deutsche,49106
2021,Nicht-Deutsche,14634
2021,über 55 Jahre,10956
2021,mit Berufsabschluss,33417
2021,mit akademischen Abschluss,16873
2021,gesamt,63741
2022,Männer,37307
2022,Frauen,27470
2022,Deutsche,48726
2022,Nicht-Deutsche,16051
2022,über 55 Jahre,11335
2022,mit Berufsabschluss,33401
2022,mit akademischen Abschluss,17544
2022,gesamt,64777
2023,Männer,37716
2023,Frauen,27858
2023,Deutsche,48065
2023,Nicht-Deutsche,17509
2023,über 55 Jahre,11708
2023,mit Berufsabschluss,32987
2023,mit akademischen Abschluss,18252
2023,gesamt,65574
